16.951,19.198,2.9471,14.18,1,1.2996,6.0175,1.4493,3.5462,11.484,5.4184,4.2951,8.0394,15.678,5.1937,4.1453,4.2951,11.859,1.1498,17.55,18.748,2.4229,1.1498,1.3744
77.381,82.854,37.988,45.286,43.544,19.162,50.842,51.423,43.378,69.585,61.043,28.368,43.959,52.418,17.421,75.307,38.071,86.586,38.651,64.36,79.951,17.835,45.037,68.921
83.843,77.101,38.896,30.991,57.185,27.426,44.088,61.912,53.387,89.113,80.279,12.469,65.864,14.174,30.139,65.089,55.402,55.17,43.855,70.902,85.083,10.997,32.231,59.897
90.488,93.401,1.2988,8.0216,1,6.0794,6.7517,12.802,52.691,94.372,88.172,22.588,18.031,5.7806,5.2578,13.101,20.197,96.713,55.828,80.926,91.459,1.9711,32.149,6.7517
13.872,16.35,4.7171,9.398,11.738,1.2753,8.9161,23.785,13.046,11.945,1.3442,3.2716,1.1377,1.413,3.2716,7.4706,10.499,13.459,1.2753,1.3442,24.404,1.7572,1.2065,1.2753
4.7403,17.871,51.136,36.175,67.928,17.553,41.428,34.822,8.2419,1.4775,1.3183,1.4775,66.098,22.089,23.999,51.296,57.742,1.4775,1.3183,1.2387,12.062,27.58,1.1592,40.711
5.4486,19.42,28.665,21.227,23.799,15.11,34.087,40.412,5.8657,4.684,2.4597,1.3475,55.218,8.368,15.319,47.919,34.99,5.5876,1.3475,1.278,9.8277,1.6951,1.278,11.565
2.4635,19.02,1,7.5859,1,1.1829,16.55,5.665,1.4574,1.2744,2.4635,1.5488,1.4574,15.178,2.6465,5.3906,7.4029,1.2744,1.5488,1.4574,6.5797,1.2744,1.1829,1.6403
1.4747,41.732,23.122,12.678,1.2848,10.969,21.129,5.6524,6.222,1,1.4747,3.7534,1.3798,4.4181,1.4747,23.407,15.147,13.723,12.394,20.844,10.02,7.6462,4.2282,8.8805
5.0135,25.616,1.2676,12.84,3.2743,1.4014,6.8196,4.9466,1.4014,4.679,1.4014,2.5385,4.9466,16.251,5.95,34.58,13.442,1.2007,1.4014,1.4014,4.7459,4.2108,1.2676,1.2676
35.74,65.108,64.242,51.247,83.02,52.806,74.898,55.839,33.834,27.596,69.353,11.829,92.484,27.77,70.653,69.353,65.715,35.133,42.411,57.051,56.532,64.675,33.227,63.116
4.3266,23.03,43.433,16.45,10.093,20.442,34.192,31.457,1.3696,3.0699,3.8091,3.2917,22.734,18.446,19.481,25.469,13.641,6.914,7.2097,7.0618,35.375,18.52,34.71,33.009
1.3791,22.987,23.063,25.792,45.353,16.998,42.548,48.993,1.4549,1.2275,5.8523,1.2275,40.804,16.315,29.28,47.779,43.913,1.3791,1.3033,1.3033,7.8994,45.505,3.1229,14.116
6.307,24.928,4.1656,8.7278,1,1,14.78,7.5174,4.538,3.7932,1.1862,1.5586,1.5586,3.4208,1.3724,25.673,7.3312,1.2793,9.2864,6.5863,12.08,1.3724,1.1862,1
27.929,76.763,8.8715,19.954,25.236,12.497,36.474,32.849,23.734,29.275,81.839,11.202,81.683,16.95,28.084,42.533,43.361,39.374,50.197,28.447,73.346,26.22,25.754,4.5733
